beer_name,brand,brewery,style,abv,calories,size,package_type,karnataka_price_min,karnataka_price_max,karnataka_price_observations_json,gtin,barcode,image_url,manufacturer_url,sources,confidence_score,last_verified_note
Bira 91 Strong,Bira 91,B9 Beverages Pvt. Ltd.,"Wheat beer / ""high intensity wheat beer""",7%,,"650ml bottle, 500ml can, 330ml pint",Bottle and can,,,[],,,,https://web.archive.org/web/20180824192216/http://bira91.com/strongbeer/index.html,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Medium,Verified via Wayback Machine snapshot (24 Aug 2018). Not found as a distinct listed product on the 2024 snapshot of the site (which instead lists 'Bira 91 Boom' as the strong lager) — may have been discontinued/rebranded; could not confirm current status on live site.
Bira 91 Blonde,Bira 91,B9 Beverages Pvt. Ltd.,"Craft lager (""extra hoppy craft lager"")",4.7%,,"650ml bottle, 500ml can, 330ml pint",Bottle and can,,,[],,,,https://web.archive.org/web/20180824201817/http://bira91.com/blondebeer/index.html,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Medium,2018 archive gives ABV 4.7% and sizes. A 2024 archive snapshot shows the product renamed/rebranded as 'Bira 91 Blonde Summer Lager' ('crisp and refreshing lager brewed with noble hops') without restating ABV — so the 4.7% figure is not confirmed for the current version of this product.
Bira 91 Light,Bira 91,B9 Beverages Pvt. Ltd.,"Light lager (""low calorie lunchtime lager"")",4%,"90 calories and 3 carbs per 330ml serving (per 2018 page); a 2024 snapshot of the site states ""80 calories and 3g carbs per 330ml"" for Bira 91 Light — the two archived pages disagree on the calorie figure","330ml pint, 500ml can, 24-pint case",Can,,,[],,,,https://web.archive.org/web/20180824192343/http://bira91.com/lightbeer/index.html,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Medium,"ABV/size verified from 2018 archive; calorie figure verified from two different archive snapshots (2018: 90 cal, 2024: 80 cal) which conflict — flagging as unresolved rather than fabricating a single number."
"Bira 91 IPA (""The Indian Pale Ale"")",Bira 91,B9 Beverages Pvt. Ltd.,India Pale Ale,7%,,"330ml pint, 24-pint case",Pint/can (per 2018 page),,,[],,,,https://web.archive.org/web/20180824152757/http://bira91.com/ipabeer/index.html,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Medium,"2018 archive gives ABV 7% and sizes. By 2024 the site lists a differently-named product, 'Bira 91 IPA brewed with Pomelo' (""Session IPA Brewed with pomelo""), suggesting the IPA recipe/positioning changed; ABV for that newer version was not found on any page I could retrieve."
Bira 91 Rise,Bira 91,B9 Beverages Pvt. Ltd.,"Rice strong lager — described on-site as ""INDIA'S FIRST PREMIUM RICE STRONG LAGER""",,,,,,,[],,,,https://web.archive.org/web/20240721112936/https://bira91.com/home/imagined-in-india/beer-details-stout,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Low,"Name and tagline only, taken from the lineup/nav section of a 2024 archived page (product tile linking to beer-details-rise.php). ABV, package size, and calories were not present in any archived page content I could load — the detail sub-pages appear to be JS-rendered and the archived HTML only contains the static shell + the lineup grid text."
Bira 91 Gold,Bira 91,B9 Beverages Pvt. Ltd.,"Toasted & creamy lager with notes of honey and caramel (site text: ""GOLD WHEAT STRONG"")",,,,,,,[],,,,https://web.archive.org/web/20240721112936/https://bira91.com/home/imagined-in-india/beer-details-stout,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Low,"Name/description only, from 2024 archived lineup grid text. No ABV/size/calorie data found in retrievable page content."
Bira 91 Blonde Summer Lager,Bira 91,B9 Beverages Pvt. Ltd.,Crisp lager brewed with noble hops,,,,,,,[],,,,https://web.archive.org/web/20240721112936/https://bira91.com/home/imagined-in-india/beer-details-stout,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Low,This is the 2024-era successor/rename of 'Bira 91 Blonde'. Name/description only from 2024 archived lineup grid text; no ABV/size/calorie data found.
Bira 91 Boom (a.k.a. Boom Classic),Bira 91,B9 Beverages Pvt. Ltd.,"Malt-forward strong lager (site text: ""Bold and Flavorful malt-forward strong lager""; also shown as ""BOOM CLASSIC — Crisp Pilsner Brewed with Noble Hops"")",,,,,,,[],,,,https://web.archive.org/web/20240721112936/https://bira91.com/home/imagined-in-india/beer-details-stout,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Low,"Name/description only from 2024 archived lineup grid text. The page shows two overlapping tiles for 'Boom' with slightly different descriptions (strong lager vs. pilsner), which I could not resolve into a single consistent product spec from the archived HTML. No ABV/size/calorie data found."
Bira 91 IPA brewed with Pomelo (Boom-Strong page slot),Bira 91,B9 Beverages Pvt. Ltd.,Session IPA brewed with pomelo,,,,,,,[],,,,https://web.archive.org/web/20240721112936/https://bira91.com/home/imagined-in-india/beer-details-stout,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Low,"Name/description only from 2024 archived lineup grid text (linked via beer-details-boom-strong.php, which is confusing naming on the site's own part — the URL slug says 'boom-strong' but the tile content is for the Pomelo IPA). No ABV/size/calorie data found."
Bira 91 Malabar Stout,Bira 91,B9 Beverages Pvt. Ltd.,Coffee stout made with coffee beans sourced from the Malabar hills,,,,,,,[],,,,https://web.archive.org/web/20240721112936/https://bira91.com/home/imagined-in-india/beer-details-stout,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Low,Name/description only from 2024 archived lineup grid text. No ABV/size/calorie data found in retrievable page content.
Bira 91 Superfresh White (Citrus / Mango / Berry variants),Bira 91,B9 Beverages Pvt. Ltd.,"Flavored wheat beer line — variants labeled Citrus, Mango, Berry",,,,,,,[],,,,https://web.archive.org/web/20240721112936/https://bira91.com/home/imagined-in-india/beer-details-stout,"bira91.com (official Bira 91 beer brand website, via live fetch attempt + Wayback Machine archives)",Low,"Only the variant/flavor names appear in the archived nav/footer text of the 2024 snapshot ('Superfresh White Citrus/Mango/Berry'); no ABV, size, or calorie data was retrievable."
Budweiser,Budweiser,AB InBev India,American Lager,,,,,,,[],,,https://abinbevindia.in/wp-content/uploads/2024/11/budweiser1.jpg,https://abinbevindia.in/budweiser/,AB InBev India official website (abinbevindia.in),High,"Verified by directly fetching https://abinbevindia.in/budweiser/ (after passing the site's age/location consent cookie). Page states: Country of origin USA, Style American Lager, Tasting Notes: barley malt, rice, hops, Suggested Glassware: tall American-style pint glass. No ABV%, package size, calories, MRP, or barcode is published on this page or anywhere else on the site."
Budweiser Magnum,Budweiser,AB InBev India,"American Lager (dark golden, beechwood-aged)",,,,,,,[],,,,https://abinbevindia.in/budweiser-magnum/,AB InBev India official website (abinbevindia.in),High,"Verified via direct fetch of https://abinbevindia.in/budweiser-magnum/. Page states Country of origin: India, Style: American Lager, aged twice on beechwood. No ABV, size, calories, or price published."
Budweiser 0.0,Budweiser,AB InBev India,Non-Alcoholic Lager Beer,,,,,,,[],,,,https://abinbevindia.in/budweiser-0-0/,AB InBev India official website (abinbevindia.in),High,"Verified via direct fetch of https://abinbevindia.in/budweiser-0-0/. Page states Country of origin: USA, Style: Non Alcoholic Lager Beer, Tasting Notes: slightly sweet, lingering rice taste. Site also links this variant from ab-inbev.com/our-brands as 'Budweiser Zero'. No ABV%/size/calories published (implicitly ~0.0% ABV per product name, but this is inference from the name, not a stated %)."
Budweiser 0.0 Green Apple,Budweiser,AB InBev India,Green Apple flavoured Non-Alcoholic Beer,,,,,,,[],,,,https://abinbevindia.in/budweiser-0-0-green-apple/,AB InBev India official website (abinbevindia.in),High,Verified via direct fetch of https://abinbevindia.in/budweiser-0-0-green-apple/. No ABV/size/calorie/price data published.
Budweiser Beats,Budweiser,AB InBev India,Fruity notes with balanced sweet-sourness (flavored malt beverage),,,,,,,[],,,,https://abinbevindia.in/budweiser-beats/,AB InBev India official website (abinbevindia.in),Medium,"Verified page exists and loaded via direct fetch of https://abinbevindia.in/budweiser-beats/. Style classification as a beer vs. flavored malt beverage is not explicit on the page (only 'Style: Fruity notes with balanced sweet-sourness' and 'Country of origin: India' are given), so exact style/ABV is unknown. No numeric ABV/size/calories published."
Corona Extra,Corona,AB InBev (Cerveceria Modelo / imported per AB InBev India distribution),Premium Mexican Lager,,,,,,,[],,,https://abinbevindia.in/wp-content/uploads/2024/11/corona-beers-with-limes-main-1.jpg,https://abinbevindia.in/corona/,AB InBev India official website (abinbevindia.in),High,"Verified via direct fetch of https://abinbevindia.in/corona/. Page states Country of origin: Mexico, Style: Premium Mexican Lager, Tasting Notes: golden lager, slightly fruity, crisp refreshing bitterness, served with a lime wedge. No ABV%, package size, calories, MRP, or barcode published. Note: page/title is generically 'Corona' though on-page copy refers to 'Corona Extra'; a separately branded 'Corona Cero' (0.0 alcohol) product was announced in press coverage found via Google search (e.g. a news headline 'AB InBev India launches Corona Cero to expand zero-alcohol beer...') but I could NOT find a dedicated Corona Cero product page on abinbevindia.in — its wp-json pages search for 'cero' returned zero results, so I cannot confirm Corona Cero's India SKU details from the official site; this is flagged Low confidence / unverified and is NOT included as its own SKU entry to avoid fabricating unverified specifics."
Hoegaarden,Hoegaarden,AB InBev India,Belgian White Beer (witbier),,,,,,,[],,,https://abinbevindia.in/wp-content/uploads/2024/11/hoegaarden1.jpg,https://abinbevindia.in/hoegaarden/,AB InBev India official website (abinbevindia.in),High,"Verified via direct fetch of https://abinbevindia.in/hoegaarden/. Page states Country of origin: Belgium, Style: Belgian White Beer, brewing tradition dating to 1445, uses orange peel and coriander, Tasting Notes: spice, cloves, tinge of citrus, served in the hexagonal glass. No ABV%, package size, calories, MRP, or barcode published."
Carlsberg Elephant,Carlsberg,Carlsberg India,"Lager (India site says 'Lager', 'full-bodied, full-flavored'; Carlsberg Group global catalog lists Carlsberg Elephant as style 'Bock')","7.2% (sourced from carlsberggroup.com/beers-you-love/ global brand listing, matched by name with Brand Origin = Denmark, consistent with the India site's stated Danish origin, but NOT directly stated on the carlsbergindia.com India product page itself)",,"500ml cans, 330ml bottles, 650ml bottles",,,,[],,,,https://carlsbergindia.com/products/carlsberg/carlsberg-elephant/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),Medium,"India-site facts (Lager, Denmark origin, 2011 launch/2024 relaunch, package sizes) verified High confidence via direct fetch of carlsbergindia.com on 2026-08-05. The 7.2% ABV and 'Bock' style classification come from a separate page (carlsberggroup.com global catalog) matched by name+origin but not explicitly confirmed as the identical India SKU."
Tuborg Green,Tuborg,Carlsberg India,Lager (India site); 'Pilsner' per carlsberggroup.com global catalog,"4.6% (sourced from carlsberggroup.com/beers-you-love/ paginated global catalog, entry 'Tuborg Green', Brand Origin Denmark, matching the India site's stated Danish origin/2009 launch; not stated on carlsbergindia.com itself)",,"330 ml bottles, 500 ml cans, 650 ml bottles",,,,[],,,,https://carlsbergindia.com/products/tuborg/tuborg-green/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),Medium,"India-site facts (Lager type, Denmark origin, 2009 launch, package sizes) High confidence, directly read from carlsbergindia.com on 2026-08-05. ABV 4.6% and 'Pilsner' style are from the separate global catalog matched by name+origin, so Medium confidence it is the exact same India formulation."
Tuborg Strong,Tuborg,Carlsberg India,"Lager (India site, described as a 'strong beer'); 'Strong Pilsner' per carlsberggroup.com global catalog","6.1% (sourced from carlsberggroup.com/beers-you-love/ global catalog entry 'Tuborg Strong', Brand Origin listed as Denmark). Note: the India site itself states origin as India (launched 2010), a minor discrepancy vs. the global catalog's Denmark origin label -- flagged for caution.",,"330 ml bottles, 330 ml cans, 500 ml cans, 650 ml bottles",,,,[],,,,https://carlsbergindia.com/products/tuborg/tuborg-strong/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),Medium,"Package sizes and description High confidence, directly read from carlsbergindia.com on 2026-08-05. ABV 6.1% is Medium confidence -- taken from a global catalog entry with a conflicting origin label (Denmark vs. India-site's stated India origin), so exact match to the India retail SKU is not fully certain."
Tuborg Classic with Scotch Malts,Tuborg,Carlsberg India,Lager (India site); 'Strong Pilsner' per carlsberggroup.com global catalog,"6.7% (sourced from carlsberggroup.com/beers-you-love/ entry 'Tuborg Classic With Scotch Malts', Brand Origin Denmark). This entry's product image filename contains 'in_' -- likely denoting 'India' -- which is a stronger (though still inferential) signal this is the India-market SKU than for the other Tuborg matches.",,"330 ml bottles, 500 ml cans, 650 ml bottles",,,,[],,,https://carlsberggroup.com/media/viwll4lm/in_tuborg-classic-bottle.png,https://carlsbergindia.com/products/tuborg/tuborg-classic-with-scotch-malts/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),High,"Description, 2017 launch year, and package sizes verified High confidence directly from carlsbergindia.com on 2026-08-05. ABV 6.7% is corroborated by a matching global catalog entry whose image filename explicitly suggests India origin, giving higher confidence than other cross-matched entries, though still an inference bridging two separate pages."
Tuborg Ice Draft,Tuborg,Carlsberg India,"Lager (described on carlsbergindia.com as a 'cold filtered, crisp lager')",unknown - not found on carlsbergindia.com or across all 15 pages of carlsberggroup.com's global 'beers-you-love' catalog that were checked,,"330 ml bottles, 500 ml cans, 650 ml bottles",,,,[],,,,https://carlsbergindia.com/products/tuborg/tuborg-ice-draft/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),Medium,"Style, origin (Denmark), 2022 launch, and package sizes are High confidence, directly read from carlsbergindia.com on 2026-08-05. Could not find this SKU by name in the full 15-page paginated global carlsberggroup.com brand catalog, so ABV is left unverified/omitted rather than guessed."
1664 Blanc,1664,Carlsberg India / Kronenbourg (France),Wheat Beer,"5% (sourced from carlsberggroup.com/brands/ global catalog entry '1664 Blanc', which lists Beer Type 'Wheat Beer' and ABV '5%')",,"330 ml bottles, 500 ml cans (in selected states, per carlsbergindia.com)",,,,[],,,,https://carlsbergindia.com/products/1664/1664-blanc/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),High,"carlsbergindia.com page (verified 2026-08-05, High confidence) gives style=Wheat, France origin, 2024 India launch, and package sizes. The 5% ABV comes from the matching entry name '1664 Blanc' on the global carlsberggroup.com catalog (same brand family, same style 'Wheat Beer'), a reasonably strong match though the global page does not itself state 'India' as the market."
Carlsberg Smooth,Carlsberg,Carlsberg India,"Lager (described on carlsbergindia.com as 'European style lager'). Note: a same-named but NOT confirmed-identical SKU 'Carlsberg Smooth Draught' on the global carlsberggroup.com catalog lists style 'Pilsner', ABV 4.8%, origin Malaysia -- may be a different regional variant, not confirmed as the India product.","unknown for the India product specifically. Not stated on carlsbergindia.com. A same-named global entry 'Carlsberg Smooth Draught' lists ABV 4.8% but its origin field says Malaysia (not India), so this is NOT confirmed to be the India-sold product and is omitted as a verified fact.",,"500ml cans, 330ml bottles, 650ml bottles",,,,[],,,,https://carlsbergindia.com/products/carlsberg/carlsberg-smooth/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),Medium,"Verified via direct fetch (WebFetch + raw curl of HTML) of carlsbergindia.com product page on 2026-08-05. Origin/launch year (India, 2018) and package sizes are High confidence, directly read from page text. ABV is unknown/unverified for the India-market product -- the only name-matching global catalog entry has a conflicting origin (Malaysia), so it was not reported as a confirmed ABV value."
Tuborg Zero Packaged Drinking Water,Tuborg,Carlsberg India,Non-alcoholic packaged drinking water (not a beer),,,,,,,[],,,,https://carlsbergindia.com/our-products/other-products/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),Medium,Only the product name and category ('Other Products') were confirmed via WebFetch of carlsbergindia.com/our-products/other-products/ on 2026-08-05. No size/spec details were shown on that page; a dedicated product page was not located.
Tuborg Zero Soda,Tuborg,Carlsberg India,Non-alcoholic soda (not a beer),,,,,,,[],,,,https://carlsbergindia.com/our-products/other-products/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),Low,"Only the product name was observed in the 'Other Products' listing page via WebFetch on 2026-08-05; no dedicated product page was fetched, so no further detail is confirmed."
Carlsberg Elephant Strong Soda,Carlsberg,Carlsberg India,Non-alcoholic soda (not a beer),,,,,,,[],,,,https://carlsbergindia.com/our-products/other-products/,Carlsberg India (carlsbergindia.com) and Carlsberg Group global brand catalog (carlsberggroup.com),Low,Only the product name was observed in the 'Other Products' listing page via WebFetch on 2026-08-05; no dedicated product page was fetched.
Heineken Original,Heineken,"United Breweries Limited (Heineken license, India)",Pilsner / Lager,5%,42 kcal per 100ml (176 kJ per 100ml),"500ml (can, verified via /our-products/the-can page); other bottle sizes referenced generically but not itemized on official site",Bottle and can (green bottle with red star; also 500ml can - see 'The Can' page),,,[],,,https://www.heineken.com/media/rrjnijrl/hnk-can-500ml.png (500ml can image referenced on the-can page),https://www.heineken.com/in/en/our-products/heineken-original,Heineken.com — Official Heineken India product pages (heineken.com/in/en/our-products),High,Verified by fetching raw HTML of https://www.heineken.com/in/en/our-products/heineken-original on 2026-08-05. ABV 5% is a direct quote from an FAQ accordion: 'The alcohol volume of Heineken pilsner is 5%.' Calories (42 kcal/100ml) directly quoted from page text. 500ml can size confirmed on the sibling page https://www.heineken.com/in/en/our-products/the-can via image alt text 'Hnk Can 500Ml'. No barcode/GTIN/India MRP was found on the official site — omitted rather than guessed.
Heineken Silver,Heineken,"United Breweries Limited (Heineken license, India)","Premium lager (lower ABV, less bitter than Heineken Original)",4%,35 kcal per 100ml (146 kJ per 100ml); carbohydrates 2.9g/100ml,"500ml (can, confirmed via image alt text 'Heineken Silver The Can 500Ml')",Can and bottle (green bottle with silver seal),,,[],,,,https://www.heineken.com/in/en/our-products/heineken-silver,Heineken.com — Official Heineken India product pages (heineken.com/in/en/our-products),High,"Verified by fetching raw HTML of https://www.heineken.com/in/en/our-products/heineken-silver on 2026-08-05. ABV directly quoted from FAQ accordion: 'Yes. The alcohol volume of Heineken Silver is 4%, while the alcohol volume of Heineken Original is 5%.' Calories/nutrition table directly quoted from page. 500ml can size confirmed via image alt attribute on the same page. No official India MRP, barcode, or GTIN found on heineken.com — omitted."
Heineken 0.0,Heineken,"United Breweries Limited (Heineken license, India)",Non-alcoholic lager,Less than 0.03% (marketed as non-alcoholic),21 kcal per 100ml (90 kJ per 100ml); 69 kcal per 33cl bottle,33cl (330ml) bottle,"Bottle (also sold as can via third-party retailers, not confirmed on official site)",,,[],,,image alt text 'Heineken 00 Bottle' referenced on official page,https://www.heineken.com/in/en/our-products/heineken-0-0,Heineken.com — Official Heineken India product pages (heineken.com/in/en/our-products),High,"Verified by fetching raw HTML of https://www.heineken.com/in/en/our-products/heineken-0-0 on 2026-08-05. ABV directly quoted: 'Heineken 0.0 contains less than 0,03% alcohol so as such it is a non-alcohol beer.' Calorie figures directly quoted ('21 kcal/100ml so a 33cl bottle has 69 calories'). Note: a third-party retailer (Flipkart listing seen in search results, not independently fetched/verified) advertises a 'can' format for Heineken 0.0 in India — this is UNVERIFIED (Low confidence) since the official Heineken India site only shows a bottle image for this product."
Heineken Draught Beer,Heineken,"United Breweries Limited (Heineken license, India)","Lager, served on tap/draught",unknown (not stated on official product page),,unknown — no keg/liter size disclosed on official page,Draught (on-premise tap/keg service; no consumer retail package),,,[],,,,https://www.heineken.com/in/en/our-products/draught-beer,Heineken.com — Official Heineken India product pages (heineken.com/in/en/our-products),Medium,"Verified by fetching raw HTML of https://www.heineken.com/in/en/our-products/draught-beer on 2026-08-05. Page confirms the product exists and is served as draught ('The same great taste in 192 countries... perfect Heineken draught beer') but does not disclose ABV or keg size, so those fields are marked unknown rather than guessed."
Heineken Silver Draught,Heineken,"United Breweries Limited (Heineken license, India)","Lager, premium draught (India-specific launch)",unknown (not stated in source article; inferred but NOT confirmed to match Heineken Silver's 4% ABV),,,"Draught (on-tap at bars/pubs, launched Dec 2023 in Maharashtra: Mumbai, Thane, Pune; Karnataka expansion planned per article)",,,[],,,,https://www.brewer-world.com/united-breweries-unveils-heineken-silver-draught-beer-in-india,Heineken.com — Official Heineken India product pages (heineken.com/in/en/our-products),Low,"This SKU was NOT found on Heineken's own heineken.com/in site (which only lists a generic 'Draught Beer' page and a separately-branded 'Heineken Silver' can/bottle page — no combined 'Silver Draught' product page was located there). It is documented via a third-party industry news site (Brewer World), fetched and read on 2026-08-05, describing United Breweries' India-specific launch of 'Heineken Silver Draught' in Dec 2023. ABV was not stated in that article; I did NOT assume it equals Heineken Silver's bottled 4% ABV. Confidence is Low because the primary source is a secondary news outlet, not Heineken's own site, and no official India distributor/press page was located to corroborate it."
Simba Wit,Simba,Sona Beverages Pvt. Ltd.,Witbier/Belgian-style wheat beer (per third-party review site; not stated as such on brand site),,,,Bottle (per homepage bottle imagery; not explicitly labeled),,,[],,,https://simbabeer.com/public/images/product-pages/bottles/wit.png,https://simbabeer.com/our-beers/wit/,"Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)",Medium,"VERIFIED (live fetch of simbabeer.com/our-beers/wit/, 2026-08-05): page confirms beer name 'Wit' and shows a bottle product image, but the live page text contains NO ABV, size, price, or MRP. ABV (~4.5%) and size/price figures were seen only on a third-party site (liquorsprice.com) via WebFetch summary, which I could not independently verify against primary sourcing and could be wrong/outdated. Karnataka/Bengaluru retail availability is INFERENCE from a 2021 archived version of simba.co.in (different domain, likely an ad-agency site, not verified as the beer brand) and from third-party mentions of 'Bengaluru' as a market — not confirmed on the live brand site, which only shows a citywide 'Find Simba' locator with Bars/Stores in Goa, Delhi, Bengaluru, Assam, Kolkata (not itemized by specific SKU)."
Simba Stout,Simba,Sona Beverages Pvt. Ltd.,Stout,,,,Bottle (per homepage bottle imagery; not explicitly labeled),,,[],,,https://simbabeer.com/public/images/product-pages/bottles/stout.png,https://simbabeer.com/our-beers/stout/,"Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)",Medium,"VERIFIED (live fetch of simbabeer.com/our-beers/stout/, 2026-08-05): confirms beer name and bottle image only, no ABV/size/price/MRP text present. Unverified secondary-source figures (ABV ~4.5-5%, 330/500ml, price ranges) came only from a WebFetch summary of liquorsprice.com, a third-party price aggregator I could not independently cross-check; treat as unconfirmed/Low confidence."
Simba Strong,Simba,Sona Beverages Pvt. Ltd.,Strong lager (per third-party review; brand site does not label style in text),,,,Bottle (per homepage bottle imagery; not explicitly labeled),,,[],,,https://simbabeer.com/public/images/product-pages/bottles/strong.png,https://simbabeer.com/our-beers/strong/,"Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)",Medium,"VERIFIED (live fetch of simbabeer.com/our-beers/strong/, 2026-08-05): confirms beer name and bottle image, no ABV/size/price text on page. Unverified secondary-source ABV (~7.5-8%) and sizes/prices from liquorsprice.com summary only — could not independently confirm; Low confidence on those specific numbers."
Simba Lager,Simba,Sona Beverages Pvt. Ltd.,Lager,,,,"Unknown (not shown as retail SKU on current brand navigation; 'Lager' name did not appear as a distinct product-page slug on simbabeer.com in my crawl, only 'Wit/Stout/Strong')",,,[],,,,,"Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)",Low,"UNVERIFIED as a distinct current retail SKU on the primary site. A third-party review site (occassionaldrinker.com) described a 'Simba Lager' at 4.5% ABV, 330ml, ~₹120, but this was not corroborated on simbabeer.com's own current beer lineup pages (which list Wit/Stout/Lager/Strong on the homepage nav string but the crawlable sub-pages I found were /wit, /stout, /strong, /light — 'light' page's title text was actually 'Lager' per its <title> tag: 'Lager | Simba Beer', at URL /our-beers/light/). Flagging discrepancy: the URL slug is 'light' but page title is 'Lager' — likely the same product, but I cannot confirm ABV/size/price for it from the primary source."
James Blond (Geist James Blond),Geist,Geist Brewing Co.,Belgian-Style Strong Blond Ale,,,500 ml,"Crowler can (unpasteurised, cold-chain)",225.0,225.0,"[{""value"": ""₹225"", ""source"": ""Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)"", ""source_url"": ""https://www.geist.in/retail"", ""confidence"": ""High""}]",,,,https://www.geist.in/retail,"Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)",High,"VERIFIED via direct fetch/grep of raw HTML at https://www.geist.in/retail (2026-08-05): page text states 'These craft beers from the Geist portfolio are available in 500ml Crowlers at select retail stores in Bangalore' and lists JB=₹225/500ML, matched to 'Belgian-style Strong Blond Ale' via the JB logo asset filename mapping in the same HTML block. Also cross-verified beer name/style pairing via JSON-LD structured data on https://www.geist.in/beers ('Geist James Blond' / category 'Belgian-Style Strong Blond Ale'). No ABV figure is published on either page — omitted rather than guessed. Retail stores confirmed to be Bangalore (Karnataka) and Pondicherry; this SKU's Karnataka retail presence is High confidence."
Uncle Dunkel (Geist Uncle Dunkel),Geist,Geist Brewing Co.,Dark Wheat Beer / Bavarian-style Dark Wheat Beer,,,500 ml,"Crowler can (unpasteurised, cold-chain)",225.0,225.0,"[{""value"": ""₹225"", ""source"": ""Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)"", ""source_url"": ""https://www.geist.in/retail"", ""confidence"": ""High""}]",,,,https://www.geist.in/retail,"Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)",High,"VERIFIED via direct fetch/grep of raw HTML at https://www.geist.in/retail (2026-08-05): UD logo mapped to 'Bavarian-style Dark Wheat Beer', ₹225/500ML, sold in Bangalore + Pondicherry retail stores. Cross-verified name/category via JSON-LD on /beers page ('Geist Uncle Dunkel' / 'Dark Wheat Beer'). Note this beer separately won 'Gold at European Beer Star Awards 2025 in South German Style Hefeweizen Dunkel category' per homepage award banner (verified in raw HTML). No ABV published on site."
Kamacitra (Geist Kamacitra),Geist,Geist Brewing Co.,American-style India Pale Ale,,,500 ml,"Crowler can (unpasteurised, cold-chain)",249.0,249.0,"[{""value"": ""₹249"", ""source"": ""Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)"", ""source_url"": ""https://www.geist.in/retail"", ""confidence"": ""High""}]",,,,https://www.geist.in/retail,"Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)",High,"VERIFIED via direct fetch/grep of raw HTML at https://www.geist.in/retail (2026-08-05): KC logo mapped to 'American-style India Pale Ale', ₹249/500ML (the one variant priced higher than the others), sold in Bangalore + Pondicherry retail stores. Cross-verified via JSON-LD on /beers ('Geist Kamacitra' / 'American-Style India Pale Ale'). No ABV published on site."
Witty Wit (Geist Witty Wit),Geist,Geist Brewing Co.,Belgian-Style Witbier,,,500 ml,"Crowler can (unpasteurised, cold-chain)",225.0,225.0,"[{""value"": ""₹225"", ""source"": ""Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)"", ""source_url"": ""https://www.geist.in/retail"", ""confidence"": ""High""}]",,,,https://www.geist.in/retail,"Multi-source: Simba (simbabeer.com), Geist Brewing (geist.in), Toit (toit.in), Arbor Brewing Company India (arborbrewing.in)",High,"VERIFIED via direct fetch/grep of raw HTML at https://www.geist.in/retail (2026-08-05): WW logo mapped to 'Belgian-style Witbier', ₹225/500ML, sold in Bangalore + Pondicherry retail stores. Cross-verified via JSON-LD on /beers ('Geist Witty Wit' / 'Belgian-Style Witbier'). No ABV published on site."
